1,The Mousetrap,P,1952/11/25,,"27,174","Currently running at the St. Martin's Theatre

6 October 1952 Production premiere at the Theatre Royal, Nottingham
25 November 1952 Opened in the West End at the New Ambassadors Theatre
13 September 1957 Longest-running West End play
12 April 1958Longest-running West End show overall, 2239 performances
9 December 19645,000 performances
23 March 1974Closed for 2 days to transfer to the St. Martin's Theatre, retaining initial run status
17 December 197610,000 performances
16 December 200020,000 performances
18 November 2012 - 25,000 performances
1965 & 1999Sets, costumes and props replaced

",1
2,Les Misearables,M,1985/10/8,,"13,341","Currently running at the Queen's Theatre

Opened at the Royal Shakespeare Company's Barbican Theatre.
Transferred to the Palace Theatre on the West End on 5 December 1985.
Transferred to the Queen's Theatre in April 2004, where it is still running.

",1
3,The Phantom of the Opera,M,1986/10/9,,"13,008",Currently running at Her Majesty's Theatre,1
4,The Woman in Black,P,1989/6/7,,"11,704",Currently running at Fortune Theatre,1
5,Blood Brothers,M,1988/7/28,2012/11/10,"10,013",,1
6,Cats,M,1981/5/11,2002/5/11,"8,949","Opened in London at the New London Theatre

The show closed on its 21st anniversary, where it was broadcast in Covent Garden for those who couldn't acquire a ticket
It held the record for longest running West End Musical for four years before it was overtaken by Les Misérables, the current record holder.

",1
7,Mamma Mia!,M,1999/4/6,,"7,871","Currently running at Novello Theatre

This is the longest running jukebox musical
Opened at the Prince Edward Theatre
Moved to the Prince of Wales Theatre on 9 June 2004
Moved to Novello Theatre in September 2012

",1
8,The Lion King,M,1999/10/19,,"7,634",Currently running at Lyceum Theatre,1
9,Starlight Express,M,1984/3/27,2002/1/12,"7,406",,1
10,"No Sex Please, We're British",P,1971/6/3,1987/1/16,"6,761",,1
11,Stomp,D,2002/9/25,2018/1/7,"6,512","Opened at the Vaudeville Theatre

Moved to the Ambassadors Theatre on 27 September 2007

",1
12,Chicago,M,1997/10/18,2012/9/1,"6,187","This is the longest running revival

Show opened at the Adelphi Theatre
Moved to the Cambridge Theatre in April 2006
Moved to the Garrick Theatre in November 2011

",1
13,BuddyThe Buddy Holly Story,M,1989/10/12,2002/3/3,"5,140","Opened at the Victoria Palace Theatre

Moved to the Strand Theatre (now the Novello Theatre) in October 1995

",1
14,Wicked,M,2006/9/27,,"4,746",Currently running at Apollo Victoria Theatre,1
15,We Will Rock You,M,2002/9/25,2014/5/31,"4,659",,1
16,Billy Elliot the Musical,M,2005/5/11,2016/4/9,"4,566",,1
17,Miss Saigon,M,1989/9/20,1999/10/30,"4,264",,1
18,Jersey Boys,M,2008/3/18,2017/3/26,"3,787",,1
19,Thriller - Live,R,2009/1/26,,"3,745",Currently running at Lyric Theatre,1
20,The Complete Works of William Shakespeare (Abridged),P,1996/3/7,2005/4/3,"3,744",,1
21,The 39 Steps,P,2006/9/14,2015/9/5,"3,731",,1
22,Jesus Christ Superstar,M,1972/8/9,1980/8/23,"3,357",,1
23,Me and My Girl,M,1985/2/12,1993/1/16,"3,303",This is a revival of the 1937 musical.,1
24,Evita,M,1978/6/21,1986/2/18,"3,176",,1
